,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,4,aide,help
4,5,demande,request
5,7,fr̬re,brother
6,9,mettre,to put
7,10,aucun,no
8,11,laisse,leash
9,14,chaque,each
10,18,longtemps,long time
11,19,heures,hours
12,20,vont,will
13,22,revoir,meet again
14,23,place,square
15,24,parle,speak
16,25,compris,understood
17,27,̩taient,were
18,28,voici,here is
19,30,affaire,case
20,31,type,type
21,32,donn̩,given
22,34,corps,body
23,35,yeux,eyes
24,37,̩coute,listen
25,38,dont,whose
26,39,premier,first
27,40,perdu,lost
28,41,main,hand
29,43,pouvoir,power
30,45,sois,be
31,46,tiens,here
32,47,matin,morning
33,48,tellement,so much
34,49,enfant,child
35,50,point,point
36,51,venu,came
37,52,pardon,sorry
38,53,devant,in front of
39,54,minutes,minutes
40,55,demand̩,request
41,57,mis,placed
42,58,belle,beautiful
43,59,droit,law
44,61,mari,husband
45,62,cause,cause
46,63,enfin,finally
47,64,esp̬re,hope
48,65,eau,water
49,66,attendez,Wait
50,67,parti,left
51,68,nouvelle,new
52,69,boulot,job
53,70,arr̻ter,Stop
54,71,dirait,would say
55,72,terre,Earth
56,74,donne,given
57,75,loin,far
58,76,fin,end
59,77,croire,believe
60,78,gros,large
61,79,jouer,to play
62,80,bureau,office
